date,MKT,ME,ROE,IA
2023-01-16,0.010273964185110618,-0.005219049878222526,0.007549565180722917,0.0005676436144579355
2023-01-17,0.008742975790022589,-0.007827003558984691,0.018262858765757173,0.003077395703985797
2023-01-18,0.010467718298960094,-0.0038664625157136534,0.021218977793722393,0.0034690137969410895
2023-01-19,0.01444755539770659,-0.004607103586336536,0.03100853584864005,0.00936012633734995
2023-01-20,0.02476184648638169,-0.0009394930483680453,0.031646247691102136,0.0064150616291425155
2023-01-30,0.031990393662717276,0.007703023199972181,0.03783028409337019,-0.006594813513233544
2023-01-31,0.033941637421885495,0.015378176891294615,0.04825164135508886,-0.015080191083746475
2023-02-01,0.04673423652695008,0.015143542442382696,0.06310141278680281,-0.023263931211705002
2023-02-02,0.04743855755200754,0.017477087328222396,0.06554372299078803,-0.028847452921697436
2023-02-03,0.040858292143314046,0.0174325226933707,0.06880304592226749,-0.03018472860615007
2023-02-06,0.034120130102333945,0.023578986531681334,0.07018637928131222,-0.029072994215989745
2023-02-07,0.03933175957325341,0.026435238004003825,0.0759560073911949,-0.0315691435317661
2023-02-08,0.03282357898706456,0.022703811949910335,0.07530995368764737,-0.0280762124901065
2023-02-09,0.04357481663038887,0.017737429208919187,0.08387103589204048,-0.030265519944608577
2023-02-10,0.043273828046864526,0.022991301177225143,0.0833580809309109,-0.03381981447851001
2023-02-13,0.05240552930221676,0.020275152899362547,0.09270846614712114,-0.04381419505179596
2023-02-14,0.05445039813699348,0.016791633326038946,0.09992655255732852,-0.040766809924460246
2023-02-15,0.050206230277443975,0.015166702328031079,0.11163622333846068,-0.04412953055975888
2023-02-16,0.03390243221595868,0.0055850673898487635,0.1079257894205714,-0.03144955689561968
2023-02-17,0.03078235290995046,0.013521224578649793,0.11580718437763249,-0.034353794666403537
2023-02-20,0.04855717321952957,0.0020202365445849413,0.12031270287960383,-0.0354036456862139
2023-02-21,0.056026327576870205,0.001208349330533931,0.1293196881382377,-0.038273868091297625
2023-02-22,0.05348474339480358,0.002834900116686967,0.13812339807235707,-0.042820752238274196
2023-02-23,0.05150980683295048,0.001039777579818324,0.13760096282072043,-0.038844416353551625
2023-02-24,0.04655104983241065,0.004254505424177157,0.14555465435077375,-0.040495244494168414
2023-02-27,0.039967297137227575,-0.00201230684070719,0.1498374097994799,-0.035939800934180255
2023-02-28,0.04840106578981396,0.0004074694923472677,0.15337486525549204,-0.0389235462803077
2023-03-01,0.05697389852295642,-0.005715397800525546,0.15462075980699375,-0.04256283016489992
2023-03-02,0.055793671025729186,-0.006993326285042234,0.16726178910372203,-0.04288359601413949
2023-03-03,0.05953460098903096,-0.008417098103250753,0.1712843154802144,-0.043166836048147195
2023-03-06,0.05785229267031777,-0.008336018128622613,0.17623880856547003,-0.04314246342471606
2023-03-07,0.04127081500785934,-0.013549137141156353,0.1847767674030274,-0.03450356061894955
2023-03-08,0.04304533985060299,-0.008047543363945642,0.18480089769132357,-0.03986405187135267
2023-03-09,0.03922687419731563,-0.009203785746317528,0.1893951038126167,-0.03851547988592818
2023-03-10,0.02314763955934196,-0.012644254526665621,0.19376440359944658,-0.03395303257896576
2023-03-13,0.029666096166548916,-0.023517860881143493,0.21169233094852835,-0.03505251210676419
2023-03-14,0.02030082292483848,-0.031829036873852745,0.22702968991622807,-0.03191899906639395
2023-03-15,0.029302823764366437,-0.022022596039620868,0.2346164725880968,-0.03748362220204493
2023-03-16,0.0140615122499399,-0.02593476591904964,0.2466026801214274,-0.029671509820917596
2023-03-17,0.01981831307306048,-0.02601487808758096,0.2614948506909349,-0.03653918355093899
2023-03-20,0.01338564778021456,-0.027804037372005208,0.26816457808552396,-0.03484781009532223
2023-03-21,0.024555272974981834,-0.026157316693619537,0.26043963123079483,-0.044502391128522945
2023-03-22,0.02797407676600505,-0.02787011599992284,0.2686853795200881,-0.045698378194934164
2023-03-23,0.030929288978438052,-0.037281491156352375,0.28205961446365446,-0.04476198013766153
2023-03-24,0.02841367121251759,-0.03467921547267461,0.28800536438829893,-0.049083116334581844
2023-03-27,0.024507062147033576,-0.03731685594574563,0.29597754632896245,-0.04965578662422143
2023-03-28,0.021613010904871555,-0.040878412102286266,0.3024892991317545,-0.04870599398758291
2023-03-29,0.016867755005033347,-0.04538988316151327,0.3135022266879208,-0.04590498474627469
2023-03-30,0.018488691949481106,-0.05597593953935531,0.3201499726315393,-0.037748285224039946
2023-03-31,0.02687989924762424,-0.05138929051513863,0.32669683964162055,-0.04978073322311127
2023-04-03,0.03449869453934595,-0.0551803109707516,0.34222415032362563,-0.05478522300286748
