date,MKT,ME,ROE,IA,n_stocks
2023-01-16,0.010273964185110663,-0.005219049878222571,0.007549565180722891,0.0005676436144578315,497
2023-01-17,-0.0015154190342052314,-0.0026216361304897007,0.010633018915662651,0.002508328253012048,497
2023-01-18,0.0017097938229376254,0.003991784756769011,0.0029031001204819283,0.000390416626506024,497
2023-01-19,0.003938608850806452,-0.000743515846774193,0.00958614975611537,0.005870746838627236,496
2023-01-20,0.010167397056451612,0.003684585806451616,0.0006185320686381886,-0.002917754160642572,496
2023-01-30,0.007053880080645161,0.008650643467741937,0.005994338094194962,-0.012926947974443227,496
2023-01-31,0.001890757676767677,0.007616483740368291,0.01004148503030303,-0.008541708545454545,495
2023-02-01,0.012372651068548386,-0.000231080846774194,0.014166227693683826,-0.008309042070098579,496
2023-02-02,0.0006728747379032258,0.002298733911290323,0.0022973445191675794,-0.005716510210295728,496
2023-02-03,-0.006282244778225806,-4.379915322580592e-05,0.0030588354669587444,-0.0013769985863453802,496
2023-02-06,-0.0064736593749999995,0.006041151330645161,0.0012942827626871104,0.0011463362384081799,496
2023-02-07,0.00503967510080645,0.0027904553629032264,0.005391236724351952,-0.002570892869295364,496
2023-02-08,-0.006261889455645162,-0.0036353253629032274,-0.0006004462070098556,0.0036067944534501654,496
2023-02-09,0.010409558672032193,-0.004856130076920585,0.007961501867469878,-0.002252550542168677,497
2023-02-10,-0.00028842070422535203,0.005162305932277497,-0.00047326198795180765,-0.0036652244578313253,497
2023-02-13,0.008752928531187122,-0.0026551039825430762,0.008630927650602412,-0.010344220180722893,497
2023-02-14,0.0019430426559356136,-0.003414294235652286,0.00660568361445783,0.003187021927710843,497
2023-02-15,-0.004025004748490945,-0.00159809635007773,0.01064586608433735,-0.0035056341566265066,497
2023-02-16,-0.015524377585513078,-0.009438484257028111,-0.003337813072289156,0.013265368132530118,497
2023-02-17,-0.0030177695774647887,0.007892079393541909,0.007113648795180723,-0.002998540542168674,497
2023-02-20,0.017244009134808856,-0.011347555191896617,0.00403790060240964,-0.0010872004819277095,497
2023-02-21,0.0071232685714285714,-0.0008102503167508749,0.00803970644578313,-0.0029755683734939767,497
2023-02-22,-0.002406743199195171,0.0016245877166731443,0.0077955870481927715,-0.004727836746987951,497
2023-02-23,-0.001874670301810865,-0.0017900479297836504,-0.0004590321686746995,0.004154222831325302,497
2023-02-24,-0.004715844748490946,0.003211388714373624,0.0069916357228915664,-0.001717545180722892,497
2023-02-27,-0.006290904486921529,-0.006240263031966576,0.003738586746987951,0.004747702951807228,497
2023-02-28,0.008109647943548386,0.002424655483870968,0.0030764831843738596,-0.0030949782482657924,496
2023-03-01,0.008177054576612903,-0.0061203734274193535,0.001080216492515519,-0.0037866746922234403,496
2023-03-02,-0.0011166098792756538,-0.001285274338644902,0.01094820891566265,-0.0003350254819277105,497
2023-03-03,0.003543239617706238,-0.0014337988413330735,0.0034461218674698797,-0.00029593060240963847,497
2023-03-06,-0.0015877804435483873,8.17682258064513e-05,0.004229966217232566,2.547217670682768e-05,496
2023-03-07,-0.015674662500000002,-0.005256940967741935,0.007258695067177797,0.009028410683461118,496
2023-03-08,0.0017041914717741938,0.0055771594758064515,2.0366949251552323e-05,-0.005552056987221615,496
2023-03-09,-0.003660881754032258,-0.0011656227822580655,0.0038776187039065357,0.00140456358086893,496
2023-03-10,-0.015472304495967744,-0.003472428266129035,0.0036735478167214345,0.0047452114012413275,496
2023-03-13,0.00637098338028169,-0.01101285570507838,0.015017977831325302,-0.0011381222289156608,497
2023-03-14,-0.00909544684104628,-0.00851134461118668,0.01265779981927711,0.00324734048192771,497
2023-03-15,0.008822888933601608,0.010128831794921623,0.00618304734939759,-0.0057480966265060236,497
2023-03-16,-0.014807412515090544,-0.004000266124336056,0.00970844614457831,0.008116342289156628,497
2023-03-17,0.005676973983903421,-8.224517796994422e-05,0.01194620451807229,-0.007077679156626504,497
2023-03-20,-0.006307658148893361,-0.001836947243004274,0.005287161807228914,0.0017555186746987944,497
2023-03-21,0.01102208741482966,0.001693815590361445,-0.0060914387518938035,-0.01000316958733136,499
2023-03-22,0.003336866132264529,-0.0017588049236947787,0.006541962094004762,-0.0012516902766755637,499
2023-03-23,0.00287479254509018,-0.009681191074698796,0.0105418058404877,0.0009812390924175745,499
2023-03-24,-0.002440145791583166,0.0027030493958232933,0.004637654799797996,-0.004523622497294567,499
2023-03-27,-0.003798674769539078,-0.0027323978881927703,0.006189556473198182,-0.0006022295949065725,499
2023-03-28,-0.0028248231262525043,-0.003699614123855422,0.005024587672245871,0.0009994196032032322,499
2023-03-29,-0.004644866352705411,-0.004703753013333334,0.008455292157492243,0.002944420151504219,499
2023-03-30,0.0015940489178356712,-0.011089403088353413,0.005061084639636389,0.008549148032248755,499
2023-03-31,0.00823888116232465,0.004858614537831327,0.0049591842940624785,-0.012504470310944378,499
2023-04-03,0.0074193635470941885,-0.0039963922162249005,0.011703736843301348,-0.005266668394055263,499
2023-04-04,-0.001716140240480962,-0.011906104487871485,0.016185716789553422,0.006129467247673328,499
2023-04-06,-0.0024657134669338675,-0.006343353437269076,0.00802714358776423,0.001098824000793594,499
2023-04-07,0.00658441370741483,0.002594287237590362,0.00032665696522617485,-0.003994605089098911,499
2023-04-10,-0.007916497835671343,-0.008682959368835341,0.008387768462592884,0.013451780721087945,499
2023-04-11,0.0026380825250501,0.0008897492144578313,0.010089752242983911,-0.00606079635235553,499
2023-04-12,0.0037960776753507013,-0.0011110559156626517,0.010869723647644469,-0.00566548877498016,499
2023-04-13,-0.0018064612825651302,0.001555353906827309,0.0033011940170261894,0.00025527416059447413,499
2023-04-14,0.002844530140280561,-0.00602907243004016,0.006252778555299041,0.004846988580549744,499
2023-04-17,0.008711055410821643,-0.009638734442730924,0.0095639923970132,0.008230769066806148,499
2023-04-18,-0.00283628501002004,-0.009904789818152612,0.008006665022004185,0.00711545725200202,499
2023-04-19,-0.0063433065731462925,0.0014075446771084328,0.00810544859425727,-0.0028880820005771583,499
2023-04-20,-0.004014025330661321,-0.006930042399196788,0.01892820293196739,-0.00232782475615035,499
2023-04-21,-0.02071358230460922,-0.0020290452938152605,0.00688773335473631,0.010278836403939107,499
2023-04-24,-0.007553803166332666,0.006135471707148596,0.0031354321859894674,0.002463247956496643,499
2023-04-25,-0.013084220542168675,-0.009296298915662651,0.024960265301204813,0.01571817168674699,498
2023-04-26,0.004898143126252506,0.005643536319518073,-0.005410587068754058,-0.002404118233532935,499
2023-04-27,0.0027885786773547095,-0.0019493499476305222,0.010367381124377751,0.007213265576076762,499
2023-04-28,0.01578498971943888,0.006987167059919674,0.0025570411146381925,-0.013299206004617273,499
2023-05-04,0.007823403724696356,0.007068820728744939,0.02370401012121212,-0.002714866545454547,494
2023-05-05,-0.004691901827309238,0.002335771285140563,0.012794622469879518,-3.728445783132608e-05,498
2023-05-08,0.008680306526104417,-0.010277638915662649,0.019788574096385545,0.005925892228915663,498
2023-05-09,-0.009180314016064258,-0.0006782449799196781,0.006044988493975903,0.0037970038554216885,498
2023-05-10,-0.002110452389558233,0.003837757951807229,-0.002225916024096386,-0.006738110180722892,498
2023-05-11,0.0013823477510040163,0.006477365060240963,0.005762705903614458,-0.003362539337349398,498
2023-05-12,-0.010172444598393574,0.0018462505622489946,0.010411138734939759,0.0013960571686747,498
2023-05-15,0.007630860180722891,-0.009147609116465862,0.0027132701807228926,0.0031090953614457822,498
2023-05-16,-0.008478646305220884,-0.005042253333333332,0.008050093012048194,0.0097750021686747,498
2023-05-17,0.00020871572289156643,0.0069958986746987955,9.195963855421717e-05,-0.0035154156024096387,498
2023-05-18,-0.0005045567269076305,-0.0020861361847389556,0.0027861385542168673,-0.004116867590361446,498
2023-05-19,-0.004216473775100401,-0.002907622891566265,-0.0018223603012048188,0.0017341358433734938,498
2023-05-22,0.0028951846881287726,-0.006004277485749449,0.008705668614457833,0.0034157392168674694,497
2023-05-23,-0.011039832791164658,0.002065240281124498,0.0029544121084337377,-0.0005078592771084346,498
2023-05-24,-0.009742816686746989,0.006312163333333335,0.0027758851807228903,-0.0014141515060240965,498
2023-05-25,-0.0034417708232931726,-0.0023168326506024096,0.008758553132530121,0.001543950903614458,498
2023-05-26,0.00465720748995984,-0.0008262767469879514,0.005660906445783132,-0.0055208602409638555,498
2023-05-29,-0.0018081718473895582,-0.006238642168674698,0.012651841204819277,-0.0028214927108433734,498
2023-05-30,0.0021431225100401606,0.0014497585943775097,0.006395421807228915,-0.0055631003614457835,498
2023-05-31,-0.004102744236947791,0.004074037791164659,0.004726096506024096,-0.009143318253012048,498
2023-06-01,0.000830473480885312,-0.0008979310938916963,-0.0012150498795180718,-0.0022713156024096385,497
2023-06-02,0.01125655295180723,-0.0024995928915662637,-0.0056609290361445755,-0.0054098503012048205,498
2023-06-05,0.0009527583534136546,0.0030355137349397585,0.011247419578313253,-0.004848421746987952,498
2023-06-06,-0.014749532891566268,-0.006384877590361446,-0.005601737469879518,0.0059912060240963835,498
2023-06-07,0.001182161907630522,0.002852571204819277,0.010073049638554215,-0.004503230180722892,498
2023-06-08,0.003147519798792757,-0.0033588205991708768,0.002009222469879518,0.00232490048192771,497
2023-06-09,0.0029971841046277665,-0.0055966101187006085,0.011721768855421685,-0.002191836325301205,497
2023-06-12,0.0027548879074446677,0.0007833152118150014,0.00741473469879518,-0.006522932289156627,497
2023-06-13,0.0010582526358148892,-0.0016021315269141084,0.008576392349397591,-0.0026825915060240957,497
2023-06-14,0.002186488712273642,0.002634145075787019,0.010821294879518072,-0.007759051024096384,497
2023-06-15,0.00706711318548387,-0.008811668467741935,0.0012284032924424967,0.002481599583789704,496
2023-06-16,0.005739988028169014,-0.003025813127186164,0.005062633192771085,-0.0031919675301204835,497
2023-06-19,-0.00849874444668008,-0.003134019148853479,0.009799444638554219,0.0010215803614457815,497
2023-06-20,-0.006890522334004025,-0.006970556983093665,0.009094087710843371,0.0036419315060240943,497
2023-06-21,-0.011612065823293173,0.004742392771084337,0.0024372572289156607,0.001104264036144581,498
2023-06-26,-0.013080035301204818,-0.001964191325301205,0.0017261943373493988,0.003979361566265058,498
2023-06-27,0.0172875909054326,0.00688116141566265,0.004750058975903613,-0.012698638313253014,497
2023-06-28,0.0006040822444889779,-0.0003523250311646583,0.0033494644737031955,0.0015961899256907866,499
2023-06-29,-0.0008158502605210419,0.0041451803757429715,0.005744805750306616,-0.0042725800115431785,499
2023-06-30,0.00914970743951613,0.0029691610080645166,0.005138783298649142,-0.007172088854691491,496
2023-07-03,0.0114078387751004,-0.005429013212851403,0.005953338674698795,-0.0017893719879518103,498
2023-07-04,0.0009597743058350099,-0.0016797716467482837,0.005397027771084337,-0.0036278432530120475,497
2023-07-05,-0.00274039323943662,0.0011469259037763958,0.004801022771084337,-0.0022089574698795173,497
2023-07-06,-0.003817327056451613,0.004240738225806452,0.00751122499415845,-0.004729982911646586,496
2023-07-07,-0.0006257423943661972,0.0027104224514185775,0.001115640301204819,0.0008312084337349395,497
2023-07-10,0.0024413146881287727,-0.003539018813155848,0.0020763948192771076,0.0017167851204819282,497
2023-07-11,0.005783910301810865,-0.0002937000634797267,0.0071159113855421684,-0.003099093795180723,497
2023-07-12,-0.008514239376257546,-0.003549201856134215,0.0075616966265060264,0.00570300638554217,497
2023-07-13,0.008877669054325956,-0.005604672465021378,-0.0053283061445783125,0.0030435465662650594,497
2023-07-14,-0.0009274253413654618,-0.00040443638554216903,0.00032529807228915715,-0.002897800481927711,498
2023-07-17,-0.003428355742971888,0.005748007469879518,0.012398697710843374,-0.004679528855421687,498
2023-07-18,0.0013806219477911646,0.0026016971485943773,0.013980530240963854,-0.004803088614457831,498
2023-07-19,0.002706465281124498,-0.0001373806827309242,0.005490426626506024,-0.005037497469879518,498
2023-07-20,-0.005834748313253013,-0.002361404096385542,0.007321425000000001,0.000504401626506024,498
2023-07-21,0.0014741131927710845,0.0024990095983935742,0.005878981927710844,-0.002268977771084338,498
2023-07-24,-0.0030364783935742973,9.412056224899655e-05,-0.00014796795180722954,0.0034474299397590368,498
2023-07-25,0.019981255261044176,-0.010570054939759033,0.00956156361445783,-0.006578338012048195,498
2023-07-26,0.0006539463453815262,-0.00029950008032128485,0.01525449873493976,0.001530990060240964,498
2023-07-27,-0.002998041967871486,-0.0009281365461847393,0.004358119698795181,0.0020750975903614474,498
2023-07-28,0.013971104036144578,-0.011626573855421683,0.014044523855421685,-0.0030833420481927686,498
2023-07-31,0.010361049618473896,0.003244898273092371,0.012338201024096381,-0.011694327108433735,498
2023-08-01,-0.0005269849397590362,0.0010113480321285138,0.0035457084337349393,0.0013892545180722888,498
2023-08-02,-0.003604194959839357,0.0033564900803212854,0.00724466048192771,-0.005109753795180723,498
2023-08-03,0.00247288781124498,-0.008290797710843375,0.00658418030120482,0.003131369819277109,498
2023-08-04,-0.0007356332530120481,-0.007908447389558234,0.000937739939759036,-0.0007587159036144579,498
2023-08-07,-0.00661938172690763,-0.0008065690763052217,-1.1957349397589793e-05,-0.0009279901807228916,498
2023-08-08,-0.0016933142570281124,-0.0003586787951807228,0.0027974351204819283,0.0006240174698795178,498
2023-08-09,-0.005724810602409638,-0.003413875742971889,0.006111399156626506,0.0019693311445783132,498
2023-08-10,0.003469062148594377,-0.0008941059839357433,0.0042521216265060235,0.00043513975903614445,498
2023-08-11,-0.017493954337349397,0.0044783532530120514,0.004148957891566267,-2.5616204819275262e-05,498
2023-08-14,-0.0005979186746987953,0.0049174303614457834,-0.0031374609036144575,-0.0010077193373493976,498
2023-08-15,-0.0038742570281124497,-2.5768594377509682e-05,0.009714928795180724,0.0014240735542168682,498
2023-08-16,-0.006237608413654618,0.0013170576305220894,0.01306706120481928,-0.0023554049999999997,498
2023-08-17,0.0067016631325301215,0.0024432990361445773,-0.003086303433734939,-0.005008398554216868,498
2023-08-18,-0.015055345923694782,-0.000525488232931727,0.004870634216867471,0.012885185301204822,498
2023-08-21,-0.009530772072434607,0.0038580959897655132,0.007308861566265062,-0.0004245545783132538,497
2023-08-22,0.003727439899396378,-0.0076619245797706955,0.007773106144578311,-0.0012556604819277117,497
2023-08-23,-0.01437232796780684,-0.001561382224705277,0.014246004337349396,0.005034175542168676,497
2023-08-24,0.0008352820724346075,-0.00879608241951678,0.003950053915662651,-0.0008478489156626503,497
2023-08-25,-0.007911960643863179,-0.004039166933216737,0.01578788704819277,0.009860038674698793,497
2023-08-28,0.014700751368209256,0.0037729491925767578,0.008456852168674698,-0.009105123012048192,497
2023-08-29,0.01513711092555332,0.0036999567861769646,-0.0020822528915662632,-0.018994423734939758,497
2023-08-30,-0.0025511932931726908,-0.00369113437751004,0.006704302108433735,-0.002970980301204818,498
2023-08-31,-0.008023149016064258,-0.002774930722891567,0.013385671445783133,0.004768754518072289,498
2023-09-01,0.0066308601006036215,-0.0023234945980696977,0.004738236084337352,0.0025852671084337364,497
2023-09-04,0.017958108450704224,0.0006572917215636707,0.005743206867469881,-0.00891910885542168,497
2023-09-05,-0.00723833342052314,-0.002474620306386837,0.004334361144578314,0.004490138433734941,497
2023-09-06,-0.000728102152917505,-0.0014239290155784426,0.0051627764457831335,-0.0024918704819277106,497
2023-09-07,-0.012874460261569416,-0.0031978299672885107,0.008661404939759035,0.003418873313253013,497
2023-09-08,-0.001558354728370221,-0.0016972768321673797,0.006067154879518073,-0.0025921546987951803,497
2023-09-11,0.009492580824949698,-0.0007611003481668623,-0.0004894582530120487,-0.0020511999397590363,497
2023-09-12,-0.0005422504024144868,0.00034246625728721317,0.0026661240361445784,0.00022254409638554243,497
2023-09-13,-0.004878699114688129,-0.00351680192722503,0.007739177228915663,0.0008687978313253017,497
2023-09-14,-0.0004357262776659958,-0.0043300305428164276,0.01204655795180723,0.0045040749397590365,497
2023-09-15,0.0001480944064386317,0.003652495855680788,0.0027080536746987957,-0.005865785,497
2023-09-18,0.004464545774647889,0.0014012021484324398,0.006892206566265061,-0.0029459656024096383,497
2023-09-19,-0.0037299470221327973,-0.00240995745465734,0.007320800060240966,0.00834935608433735,497
2023-09-20,-0.005821999114688128,-0.001231809175573262,0.0024532539156626506,0.004674007530120481,497
2023-09-21,-0.008421604185110664,-0.0007897767016452895,0.0052466099397590355,-7.36765662650591e-05,497
2023-09-22,0.011736797806841047,-0.004194618059334111,-0.0006741877108433735,-0.0003723536144578307,497
2023-09-25,-0.006604310885311872,-0.004364880846450319,0.012817849759036146,0.005027140421686747,497
2023-09-26,-0.0055341906438631785,0.00039551130198212277,0.0031901588554216873,0.001428604096385541,497
2023-09-27,0.0016056520766129033,-0.004612677379032258,0.0028206879415845192,0.002488526941949617,496
2023-09-28,0.00469961501010101,0.0065115356456510376,0.0032844455757575757,-0.012220834606060606,495
2023-10-09,-0.0044216645656565655,-0.005530588128836359,0.015074314848484848,0.002685597212121212,495
2023-10-10,-0.006316914727272728,0.002894951227961344,0.0024086126666666664,-0.003239439999999999,495
2023-10-11,-0.002146204727272727,-0.0053182493221888465,0.010561206909090909,0.00022896115151515217,495
2023-10-12,0.010288460404040405,-0.002449918767957424,0.005798394727272723,-0.002357391878787876,495
2023-10-13,-0.007542017212121212,-0.0037244650701972063,0.015629351333333336,0.00018659193939394008,495
2023-10-16,-0.004564936161616161,-0.0011293947662269826,0.010918252363636364,-0.00022320200000000134,495
2023-10-17,5.442701010101003e-05,-0.004050734095598799,0.00380268490909091,0.0052925841818181815,495
2023-10-18,-0.014001584048582996,-0.008451826234817815,0.012512527030303028,0.009625987333333334,494
2023-10-19,-0.01425040502016129,0.007473311411290323,-0.0014274811369112822,-0.0011389835282950012,496
2023-10-20,-0.004624582092555331,0.006190783864166343,-0.0016951430120481928,-5.248518072289293e-05,497
2023-10-23,-0.018992685191146882,-0.0077159668303860614,0.01449618578313253,0.007552536927710844,497
2023-10-24,0.015730059617706234,0.014497453743846351,0.00029309927710843495,-0.018529277590361444,497
2023-10-25,0.012410870804828973,0.00897186706325301,0.012234604036144577,-0.017537564879518075,497
2023-10-26,0.0035888214545454545,-0.0013034249617996613,0.010564044,-0.0011475118181818187,495
2023-10-27,0.014521570767676769,-0.0017814412129424067,0.010395909212121215,-0.008987857757575761,495
2023-10-30,0.005128587878787878,0.003540630418244744,0.011447851393939393,-0.009839688363636363,495
2023-10-31,-0.0015724038989898988,0.00410940292852945,0.003740010363636364,0.000827114121212121,495
2023-11-01,-0.00011226662626262639,0.001826225904237952,0.0072203730909090914,-0.0011977756363636361,495
2023-11-02,-0.005819795232323233,-0.000769630473423012,0.0007239290909090909,0.004099735454545454,495
2023-11-03,0.00482604101010101,-0.0038692031890753572,-0.00039461357575757555,0.0004441040000000007,495
2023-11-06,0.011812141212121211,-0.00015386689548778885,0.009795798909090906,-0.010490330363636361,495
2023-11-07,0.001114253494949495,-0.00043579658057986176,0.0073537893333333335,-0.007435841757575757,495
2023-11-08,-0.00013720272727272743,-0.0010943548795220059,0.007678772484848484,-0.006966500424242425,495
2023-11-09,-0.0028250978340080973,-0.003426730404858299,-0.009119553575757578,0.009834566666666667,494
2023-11-10,-0.002412583400809717,0.0025563077732793527,0.008927088666666668,-0.00328815690909091,494
2023-11-13,0.005564242515212981,0.004076322968302557,0.008920252318551368,-0.008762955865484109,493
2023-11-14,0.0033925810750507096,-0.004695240945163097,0.005746025473022912,-0.007868090327420547,493
2023-11-15,0.00569642920892495,-0.00305262963562753,-0.002404704732815964,-0.0006260479626755359,493
2023-11-16,-0.007047516612576066,0.002048486832395247,0.0019003302830746492,0.0011549638584626744,493
2023-11-17,0.0035511772210953343,0.00043044068694249706,0.011339776284183298,-0.00905996602586844,493
2023-11-20,0.005029647631578948,0.0013455938866396757,0.008469684545454544,-0.0039903793333333345,494
2023-11-21,0.0008764142307692309,0.0005779482995951417,-0.002191373454545454,0.0007503323030303028,494
2023-11-22,-0.00676022443319838,0.0014330959109311748,0.00698461903030303,0.0018859612121212123,494
2023-11-23,0.007728423575757575,0.002639270999412302,0.003720364787878787,-0.00474973193939394,495
2023-11-24,-0.004873221797979798,0.0007825089382264604,0.006249349090909092,0.003433270424242424,495
